,id,edit_history_tweet_ids,author_id,text,Sentiment
34,1589469187789189120,['1589469187789189120'],927380087451811840,"RT @Puppy_Whines: //cw drug use
She had a little bit too much catnip~ https://t.co/NKr2PFaiy7",0.0062500000000000056
35,1589468425411530753,['1589468425411530753'],1306071957226446848,"@ninamadok @GavinNewsom 1. No cash bail 2. Releasing inmates 3. Open drug use 4. Mandates 5. Homeless^6. Crime^ 7. Hypocrisy 8. Allowing shoplifting 9. Attacks on republicans 10. Wasteful spending … 
ALL YOU, 1 party state for past 8 yrs. Nobody else to blame but you &amp; democrats. #BrianDahle4Governor",-0.125
36,1589468189444149248,['1589468189444149248'],799992957571047424,"RT @bowen1953: @donwinslow @Sen_JoeManchin @POTUS Take it from someone who lives in WV, this is 100% accurate. There are 3 things that WV e…",0.4000000000000001
37,1589467645446758400,['1589467645446758400'],2875826179,"@SamtheNightOwl @punishedpants We used to make eachother pass out for fun in the bathroom.

Wander in to find a kid, red-faced, against the wall with another kid forcefully pressing on his chest until consciousness evaporated.

Probably the firmament on which I later constructed years of recreational drug use",0.15
38,1589467385047965698,['1589467385047965698'],1339640576665395206,Nick Carter Shared An Emotional Instagram Post Saying He Blames Drug Use And Mental Health Struggles For His Brother Aaron’s Death https://t.co/7FlRgpMOmq,-0.05
39,1589467342408339456,['1589467342408339456'],299344039,"RT @LostCauze: Drake drug use references are always funny because it's always the tiniest amount of drugs. He be like ""...and I'm bout to t…",0.25
40,1589466963176476678,['1589466963176476678'],25030365,"RT @JamaalBowmanNY: Don’t let perception fool you about our reality.

Over 5,000 people died in New York from drug overdoses.

That’s multi…",0.13636363636363635
41,1589466812781334529,['1589466812781334529'],15246892,"RT @JamaalBowmanNY: Don’t let perception fool you about our reality.

Over 5,000 people died in New York from drug overdoses.

That’s multi…",0.13636363636363635
42,1589466780338376704,['1589466780338376704'],1256804928976089093,"@Droverj Thanks...
 I am having a harder time with all the drug use and crime over the yrs.
 My post just goes to show how it's infected all the nooks &amp; crannys of this state.",0.05
43,1589466533050613760,['1589466533050613760'],26208502,RT @CrimeInNYC: Welcome to a world where drug addiction and open-air drug use is condoned. This is very close to the location in the previo…,0.5
44,1589465431764787200,['1589465431764787200'],1520588971272663040,@khroncler Disclaimer: I do not condone any drug use. Please eat your fruits and vegetables and stay in school. Thank you. 🤣🤣,0.0
45,1589465196611145728,['1589465196611145728'],710611130117283840,@KariLake address the real problem. Why do so many need to be high to live in the “greatest country on earth”? Why are we making it so hard for those who actually need medication to get it? Why is drug use criminalized? When are we going to legalize (&amp;tax) weed? #VoteBlueIn2022,0.2435281385281385
46,1589463544294408194,['1589463544294408194'],2996997009,"@prideradio: Police will reportedly be doing a deep dive into Aaron Carter's past drug use. || https://t.co/vyDhmMczTe

#ForMoreNEWS╰▶ #AaronCarter ✔️",-0.125
47,1589463001429872641,['1589463001429872641'],65000688,"RT @bowen1953: @donwinslow @Sen_JoeManchin @POTUS Take it from someone who lives in WV, this is 100% accurate. There are 3 things that WV e…",0.4000000000000001
48,1589462857812692997,['1589462857812692997'],1556887833868107776,@JerasIkehorn Yet republicans don’t care about his drug use…,0.0
49,1589462695501258752,['1589462695501258752'],284709035,Police will reportedly be doing a deep dive into Aaron Carter's past drug use. https://t.co/AvPz9O5abH,-0.125
50,1589462566136610816,['1589462566136610816'],1559959271843844096,@GovCanHealth Then stop The Canadian Government aiding and abetting drug use!,0.0
51,1589462101697122305,['1589462101697122305'],35621956,RT @alison_hutton: ⁦@ravenurse⁩ presenting at the@AAAH conference talking about the motivations for recreational drug use. Proud of you Ali…,0.8
52,1589461965382246400,['1589461965382246400'],1471574524550430720,"Nick Carter Shared An Emotional Instagram Post Saying He Blames Drug Use And Mental Health Struggles For His Brother Aaron’s Death

Trump will be right behind him...soon!",-0.07857142857142857
53,1589461751762157569,['1589461751762157569'],456508520,⁦@ravenurse⁩ presenting at the@AAAH conference talking about the motivations for recreational drug use. Proud of you Alicjia https://t.co/cMDh1MQpwb,0.8
54,1589461601987735553,['1589461601987735553'],1585486914462679040,@Wanzerfan @mjarbo was it because his past drug use caught up to him despite him quitting ?,-0.25
55,1589461210445275136,['1589461210445275136'],1131709563647004672,"RT @LostCauze: Drake drug use references are always funny because it's always the tiniest amount of drugs. He be like ""...and I'm bout to t…",0.25
56,1589461091821625345,['1589461091821625345'],1504951917738348544,"RT @BobHoldenNYC: .@KathyHochul opened up the floodgates to the ruination of the state when she signed laws allowing for open-drug use. 

I…",0.0
57,1589461080581210115,['1589461080581210115'],15279269,"RT @LostCauze: Drake drug use references are always funny because it's always the tiniest amount of drugs. He be like ""...and I'm bout to t…",0.25
58,1589460945159753728,['1589460945159753728'],1588382876780879872,"@Antman0704 The reality is that person, or who that person was, is gone.  We need to focus funding on arrest and mandatory incarceration (not necessarily jail) and TREATMENT from the very first encounter with the law.  Enabling hard core drug use is not empathetic.",0.008333333333333331
59,1589460775131025409,['1589460775131025409'],309080980,"RT @BobHoldenNYC: .@KathyHochul opened up the floodgates to the ruination of the state when she signed laws allowing for open-drug use. 

I…",0.0
60,1589459828006846465,['1589459828006846465'],1053043408867119104,"Note: I will try and make a ""safe mode"" so those who are sensitive to it can still enjoy it, by not playing animations that contain drug use or suicide and/or making the screen black

(4/5)",0.20833333333333334
61,1589459279668314113,['1589459279668314113'],2878722764,"RT @MLLanzillotta1: Prohibition doesn't prevent drug use, it simply pushes drug use underground. This makes it much more dangerous. The sam…",-0.033333333333333326
62,1589459178560847874,['1589459178560847874'],1041918549084659712,"RT @COSAntiFascists: ACTION ITEM 1:

Contact @AskPayPal and let them know that Jeanna Hoch is violating their policy about promoting drug u…",0.1
63,1589459135028154368,['1589459135028154368'],784228081439379456,"RT @MLLanzillotta1: Prohibition doesn't prevent drug use, it simply pushes drug use underground. This makes it much more dangerous. The sam…",-0.033333333333333326
64,1589459090610487296,['1589459090610487296'],1352037817111736322,"@BobLeithiserPhD @numbumm @suzseddon Exactly. If he had an unknown heart condition from vax, stress could have exacerbated it and killed him. 

He had a history of drug use, so his heart prob wasn’t great anyway.",0.1875
65,1589458737655607296,['1589458737655607296'],1004740825799188480,"@ChaosDaddyBlog @MarchingWith7 Dumbest. Company and battalion commanders want to know no-shit drug use numbers right up until they know no-shit drug use numbers, then they want that shit to just go away because it looks terrible. YMMV.",-0.3047619047619048
66,1589458622635200512,['1589458622635200512'],838033832,"@RealCandaceO Or why it’s okay for “artists” like machine gun Kelly, to promote drug use on social media.",0.26666666666666666
67,1589458433375612928,['1589458433375612928'],14285053,"RT @SpencerHudsonSF: ""Settlements from opioid lawsuits should be spent supporting the victims of that corporate malfeasance—people with liv…",0.049999999999999996
68,1589457911386099714,['1589457911386099714'],1294327408733102083,"RT @LostCauze: Drake drug use references are always funny because it's always the tiniest amount of drugs. He be like ""...and I'm bout to t…",0.25
69,1589457867832426497,['1589457867832426497'],1502295750851448836,@423kcals THIS most of them don’t condone drug use/violence which unfortunately is common in homeless ppl due to circumstances like addiction &amp; mental illnesses.. plus if it’s alr nighttime homeless shelters fill up FAST. Long lines during the day and they stop accepting ppl at night…,0.020833333333333332
70,1589457792934752256,['1589457792934752256'],22942585,"@Algofriends @Walcandy1 @Wolfiesmom Inflation is a global problem. We are divided because people have become partisan in ways never before seen. Starting with the 16 election, and I believe we are better off now with component leadership. Also accusing people of drug use is reductive.",0.16666666666666666
71,1589457621790380034,['1589457621790380034'],1464846163568377862,"Man I’m just gonna say it! Is fake anti semitism the hill people want to die on?🤦🏾‍♂️ to see the world rally around a media created issue is astounding. If only we rallied around homelessness, crime reduction, drug use, children illiteracy and many other real issues the same way 🤦🏾‍♂️",0.09642857142857143
72,1589457613019906050,['1589457613019906050'],85601740,"Over 65% of people entering prison report risky alcohol or other drug use...

Better services for alcohol and other drugs.

More effective alcohol and other drug treatment needed. https://t.co/eQs1P3PQ6a https://t.co/QBsTSYuBzf",0.2041666666666667
